Admit Source;Admit Type;Appt Start Time;Care Score;Check-In Time;Clinic Name;Department;Diagnosis Primary;Discharge Datetime new;Encounter Number;Encounter Status;Number of Records;Wait Time Min
Investment;Elective;2/01/2020 9:53;6;2/01/2020 9:53;CitiBank Colombia;Recurring Deposit;;;STA-200102-009637;Cancelled;1;68
Cards;Elective;2/01/2020 9:57;6;2/01/2020 9:57;CitiBank Colombia;Customer Care;;;STA-200102-009707;Cancelled;1;30
Banking;Elective;2/01/2020 9:58;2;2/01/2020 9:58;CitiBank Colombia;Customer Care;;;STA-200102-009735;Cancelled;1;95
Deposit Account;Emergency;2/01/2020 9:59;3;2/01/2020 9:59;CitiBank Colombia;Current Account;;;STA-200102-009751;Cancelled;1;90
Loans;Emergency;2/01/2020 10:00;2;2/01/2020 10:00;CitiBank Colombia;Current Account;;;STA-200102-009771;Cancelled;1;101
Investment;Emergency;2/01/2020 10:03;3;2/01/2020 10:03;CitiBank Colombia;Current Account;;;STA-200102-009818;Cancelled;1;118
Cards;Elective;2/01/2020 10:04;3;2/01/2020 10:04;CitiBank Colombia;Personal Loan;;;STA-200102-009832;Cancelled;1;28
Banking;Elective;2/01/2020 10:05;2;2/01/2020 10:05;CitiBank Colombia;Personal Loan;;;STA-200102-009855;Cancelled;1;92
Deposit Account;Elective;2/01/2020 10:08;4;2/01/2020 10:08;CitiBank Colombia;Personal Loan;;;STA-200102-009919;Cancelled;1;116
Loans;Emergency;2/01/2020 10:10;2;2/01/2020 10:10;CitiBank Colombia;Current Account;;;STA-200102-009949;Cancelled;1;91
Investment;Emergency;2/01/2020 10:11;2;2/01/2020 10:11;CitiBank Colombia;Current Account;;;STA-200102-009959;Cancelled;1;114
Cards;Elective;2/01/2020 10:11;2;2/01/2020 10:11;CitiBank Colombia;Credit Card;;;STA-200102-009961;Cancelled;1;30
Banking;Elective;2/01/2020 10:14;2;2/01/2020 10:14;CitiBank Colombia;Credit Card;;;STA-200102-010015;Cancelled;1;126
Deposit Account;Elective;2/01/2020 10:16;3;2/01/2020 10:16;CitiBank Colombia;Fixed Deposit;;;STA-200102-010048;Cancelled;1;80
Loans;Elective;2/01/2020 10:17;2;2/01/2020 10:17;CitiBank Colombia;Fixed Deposit;;;STA-200102-010069;Cancelled;1;106
Investment;Elective;2/01/2020 10:17;3;2/01/2020 10:17;CitiBank Colombia;Fixed Deposit;;;STA-200102-010071;Cancelled;1;111
Cards;Elective;2/01/2020 10:18;4;2/01/2020 10:18;CitiBank Colombia;Net Banking;;;STA-200102-010086;Cancelled;1;29
Banking;Elective;2/01/2020 10:22;4;2/01/2020 10:22;CitiBank Colombia;Net Banking;;;STA-200102-010164;Cancelled;1;60
Deposit Account;Elective;2/01/2020 10:22;2;2/01/2020 10:22;CitiBank Colombia;Net Banking;;;STA-200102-010172;Cancelled;1;142
Loans;Elective;2/01/2020 10:25;3;2/01/2020 10:25;CitiBank Colombia;Fixed Deposit;;;STA-200102-010216;Cancelled;1;14
Investment;Elective;2/01/2020 10:26;3;2/01/2020 10:26;CitiBank Colombia;Fixed Deposit;;;STA-200102-010243;Cancelled;1;110
Cards;Elective;2/01/2020 10:26;2;2/01/2020 10:26;CitiBank Colombia;Fixed Deposit;;;STA-200102-010247;Cancelled;1;128
Banking;Emergency;2/01/2020 10:32;4;2/01/2020 10:32;CitiBank Colombia;Current Account;;;STA-200102-010348;Cancelled;1;49
Deposit Account;Emergency;2/01/2020 10:33;2;2/01/2020 10:33;CitiBank Colombia;Current Account;;;STA-200102-010364;Cancelled;1;65
Loans;Emergency;2/01/2020 10:38;4;2/01/2020 10:38;CitiBank Colombia;Current Account;;;STA-200102-010463;Cancelled;1;141
Investment;Emergency;2/01/2020 10:42;2;2/01/2020 10:42;CitiBank Colombia;Current Account;;;STA-200102-010528;Cancelled;1;108
Cards;Emergency;2/01/2020 10:43;5;2/01/2020 10:43;CitiBank Colombia;Current Account;;;STA-200102-010550;Cancelled;1;29
Banking;Emergency;2/01/2020 10:50;3;2/01/2020 10:50;CitiBank Colombia;Current Account;;;STA-200102-010661;Cancelled;1;29
Deposit Account;Emergency;2/01/2020 10:51;4;2/01/2020 10:51;CitiBank Colombia;Current Account;;;STA-200102-010669;Cancelled;1;14
Loans;Emergency;2/01/2020 10:53;2;2/01/2020 10:53;CitiBank Colombia;Current Account;;;STA-200102-010711;Cancelled;1;117
Investment;Elective;2/01/2020 10:55;5;2/01/2020 10:55;CitiBank Colombia;Customer Care;;;STA-200102-010745;Preadmit;1;5
Cards;Elective;2/01/2020 11:03;3;2/01/2020 11:03;CitiBank Colombia;Customer Care;;;STA-200102-010899;Preadmit;1;40
Banking;Elective;2/01/2020 11:06;3;2/01/2020 11:06;CitiBank Colombia;Customer Care;;;STA-200102-010957;Preadmit;1;71
Deposit Account;Emergency;2/01/2020 11:09;3;2/01/2020 11:09;CitiBank Colombia;Current Account;;;STA-200102-010987;Cancelled;1;4
Loans;Emergency;2/01/2020 11:13;3;2/01/2020 11:13;CitiBank Colombia;Current Account;;;STA-200102-011062;Cancelled;1;102
Investment;Emergency;2/01/2020 11:18;3;2/01/2020 11:18;CitiBank Colombia;Current Account;;;STA-200102-011145;Cancelled;1;138
Cards;Emergency;2/01/2020 11:19;4;2/01/2020 11:19;CitiBank Colombia;Current Account;;;STA-200102-011164;Cancelled;1;22
Banking;Elective;2/01/2020 11:20;6;2/01/2020 11:20;CitiBank Colombia;Mobile Banking;;;STA-200102-011176;Cancelled;1;37
Deposit Account;Elective;2/01/2020 11:21;3;2/01/2020 11:21;CitiBank Colombia;Mobile Banking;;;STA-200102-011189;Cancelled;1;85
Loans;Elective;2/01/2020 11:23;2;2/01/2020 11:23;CitiBank Colombia;Mobile Banking;;;STA-200102-011221;Cancelled;1;134
Investment;Elective;2/01/2020 11:25;4;2/01/2020 11:25;CitiBank Colombia;Debit Card;;;STA-200102-011266;Cancelled;1;16
Cards;Elective;2/01/2020 11:27;6;2/01/2020 11:27;CitiBank Colombia;Debit Card;;;STA-200102-011288;Cancelled;1;50
Banking;Elective;2/01/2020 11:27;2;2/01/2020 11:27;CitiBank Colombia;Debit Card;;;STA-200102-011289;Cancelled;1;75
Deposit Account;Urgent;2/01/2020 11:31;5;2/01/2020 11:31;CitiBank Colombia;Mobile Banking;;;STA-200102-011358;Cancelled;1;29
Loans;Urgent;2/01/2020 11:33;4;2/01/2020 11:33;CitiBank Colombia;Mobile Banking;;;STA-200102-011390;Cancelled;1;56
Investment;Urgent;2/01/2020 11:38;2;2/01/2020 11:38;CitiBank Colombia;Mobile Banking;;;STA-200102-011462;Cancelled;1;79
Cards;Emergency;2/01/2020 11:38;4;2/01/2020 11:38;CitiBank Colombia;Current Account;;;STA-200102-011465;Cancelled;1;52
Banking;Emergency;2/01/2020 11:44;2;2/01/2020 11:44;CitiBank Colombia;Current Account;;;STA-200102-011537;Cancelled;1;63
Deposit Account;Elective;2/01/2020 11:47;4;2/01/2020 11:47;CitiBank Colombia;Balance Enquiry;;;STA-200102-011562;Cancelled;1;20
Loans;Elective;2/01/2020 11:54;3;2/01/2020 11:54;CitiBank Colombia;Balance Enquiry;;;STA-200102-011648;Cancelled;1;62
Investment;Elective;2/01/2020 11:55;4;2/01/2020 11:55;CitiBank Colombia;Balance Enquiry;;;STA-200102-011676;Cancelled;1;63
Cards;Emergency;2/01/2020 11:59;3;2/01/2020 11:59;CitiBank Colombia;Current Account;;;STA-200102-011732;Cancelled;1;25
Banking;Urgent;2/01/2020 12:06;3;2/01/2020 12:06;CitiBank Colombia;Mobile Banking;;;STA-200102-011826;Cancelled;1;61
Deposit Account;Urgent;2/01/2020 12:16;2;2/01/2020 12:16;CitiBank Colombia;Mobile Banking;;;STA-200102-011970;Cancelled;1;124
Loans;Urgent;2/01/2020 12:17;2;2/01/2020 12:17;CitiBank Colombia;Mobile Banking;;;STA-200102-011988;Cancelled;1;142
Investment;Emergency;2/01/2020 12:22;4;2/01/2020 12:22;CitiBank Colombia;Current Account;;;STA-200102-012056;Cancelled;1;9
Cards;Emergency;2/01/2020 12:23;3;2/01/2020 12:23;CitiBank Colombia;Current Account;;;STA-200102-012067;Cancelled;1;15
Banking;Emergency;2/01/2020 12:30;3;2/01/2020 12:30;CitiBank Colombia;Current Account;;;STA-200102-012160;Cancelled;1;26
Deposit Account;Emergency;2/01/2020 12:35;4;2/01/2020 12:35;CitiBank Colombia;Current Account;;;STA-200102-012220;Cancelled;1;108
Loans;Emergency;2/01/2020 12:37;5;2/01/2020 12:37;CitiBank Colombia;Current Account;;;STA-200102-012251;Cancelled;1;40
Investment;Emergency;2/01/2020 12:43;2;2/01/2020 12:43;CitiBank Colombia;Current Account;;;STA-200102-012312;Cancelled;1;141
Cards;Emergency;2/01/2020 13:09;2;2/01/2020 13:09;CitiBank Colombia;Current Account;;;STA-200102-012616;Cancelled;1;127
Banking;Emergency;2/01/2020 13:11;4;2/01/2020 13:11;CitiBank Colombia;Current Account;;;STA-200102-012643;Cancelled;1;26
Deposit Account;Emergency;2/01/2020 13:11;3;2/01/2020 13:11;CitiBank Colombia;Current Account;;;STA-200102-012651;Cancelled;1;97
Loans;Emergency;2/01/2020 13:16;2;2/01/2020 13:16;CitiBank Colombia;Current Account;;;STA-200102-012696;Cancelled;1;51
Investment;Elective;2/01/2020 13:19;2;2/01/2020 13:19;CitiBank Colombia;Fixed Deposit;;;STA-200102-012730;Cancelled;1;8
Cards;Elective;2/01/2020 13:20;2;2/01/2020 13:20;CitiBank Colombia;Fixed Deposit;;;STA-200102-012747;Cancelled;1;55
Banking;Elective;2/01/2020 13:24;2;2/01/2020 13:24;CitiBank Colombia;Fixed Deposit;;;STA-200102-012792;Cancelled;1;142
Deposit Account;Emergency;2/01/2020 13:26;4;2/01/2020 13:26;CitiBank Colombia;Current Account;;;STA-200102-012814;Cancelled;1;47
Loans;Emergency;2/01/2020 13:28;2;2/01/2020 13:28;CitiBank Colombia;Current Account;;;STA-200102-012838;Cancelled;1;42
Investment;Emergency;2/01/2020 13:28;3;2/01/2020 13:28;CitiBank Colombia;Current Account;;;STA-200102-012839;Cancelled;1;46
Cards;Emergency;2/01/2020 13:30;3;2/01/2020 13:30;CitiBank Colombia;Current Account;;;STA-200102-012865;Cancelled;1;84
Banking;Elective;2/01/2020 13:34;3;2/01/2020 13:34;CitiBank Colombia;Customer Care;;;STA-200102-012914;Cancelled;1;100
Deposit Account;Elective;2/01/2020 13:34;2;2/01/2020 13:34;CitiBank Colombia;Customer Care;;;STA-200102-012916;Cancelled;1;110
Loans;Elective;2/01/2020 13:45;3;2/01/2020 13:45;CitiBank Colombia;Customer Care;;;STA-200102-013035;Cancelled;1;121
Investment;Elective;2/01/2020 13:54;3;2/01/2020 13:54;CitiBank Colombia;Fixed Deposit;;;STA-200102-013138;Cancelled;1;10
Cards;Elective;2/01/2020 13:59;4;2/01/2020 13:59;CitiBank Colombia;Fixed Deposit;;;STA-200102-013192;Cancelled;1;22
Banking;Elective;2/01/2020 14:01;2;2/01/2020 14:01;CitiBank Colombia;Fixed Deposit;;;STA-200102-013218;Cancelled;1;105
Deposit Account;Elective;2/01/2020 14:07;3;2/01/2020 14:07;CitiBank Colombia;Balance Enquiry;;;STA-200102-013295;Cancelled;1;73
Loans;Elective;2/01/2020 14:11;3;2/01/2020 14:11;CitiBank Colombia;Balance Enquiry;;;STA-200102-013331;Cancelled;1;121
Investment;Elective;2/01/2020 14:14;4;2/01/2020 14:14;CitiBank Colombia;Balance Enquiry;;;STA-200102-013367;Cancelled;1;130
Cards;Emergency;2/01/2020 14:14;2;2/01/2020 14:14;CitiBank Colombia;Current Account;;;STA-200102-013368;Cancelled;1;74
Banking;Emergency;2/01/2020 14:36;2;2/01/2020 14:36;CitiBank Colombia;Current Account;;;STA-200102-013621;Cancelled;1;122
Deposit Account;Emergency;2/01/2020 14:39;4;2/01/2020 14:39;CitiBank Colombia;Current Account;;;STA-200102-013661;Cancelled;1;109
Loans;Emergency;2/01/2020 14:41;2;2/01/2020 14:41;CitiBank Colombia;Current Account;;;STA-200102-013688;Cancelled;1;11
Investment;Emergency;2/01/2020 14:41;2;2/01/2020 14:41;CitiBank Colombia;Current Account;;;STA-200102-013689;Cancelled;1;134
Cards;Elective;2/01/2020 14:42;3;2/01/2020 14:42;CitiBank Colombia;Credit Card;;;STA-200102-013701;Cancelled;1;8
Banking;Elective;2/01/2020 14:48;6;2/01/2020 14:48;CitiBank Colombia;Credit Card;;;STA-200102-013781;Cancelled;1;32
Deposit Account;Elective;2/01/2020 14:49;3;2/01/2020 14:49;CitiBank Colombia;Credit Card;;;STA-200102-013790;Cancelled;1;57
Loans;Elective;2/01/2020 14:57;3;2/01/2020 14:57;CitiBank Colombia;Credit Card;;;STA-200102-013879;Cancelled;1;73
Investment;Elective;2/01/2020 14:59;2;2/01/2020 14:59;CitiBank Colombia;Credit Card;;;STA-200102-013903;Cancelled;1;143
Cards;Emergency;2/01/2020 15:02;4;2/01/2020 15:02;CitiBank Colombia;Current Account;;;STA-200102-013933;Cancelled;1;115
Banking;Elective;2/01/2020 15:08;3;2/01/2020 15:08;CitiBank Colombia;Personal Loan;;;STA-200102-014002;Cancelled;1;55
Deposit Account;Elective;2/01/2020 15:17;3;2/01/2020 15:17;CitiBank Colombia;Personal Loan;;;STA-200102-014101;Cancelled;1;67
Loans;Elective;2/01/2020 15:22;3;2/01/2020 15:22;CitiBank Colombia;Personal Loan;;;STA-200102-014144;Cancelled;1;79
Investment;Elective;2/01/2020 15:27;4;2/01/2020 15:27;CitiBank Colombia;Fixed Deposit;;;STA-200102-014200;Cancelled;1;19
Cards;Elective;2/01/2020 15:30;4;2/01/2020 15:30;CitiBank Colombia;Fixed Deposit;;;STA-200102-014232;Cancelled;1;44
Banking;Elective;2/01/2020 15:31;4;2/01/2020 15:31;CitiBank Colombia;Fixed Deposit;;;STA-200102-014247;Cancelled;1;109
Deposit Account;Elective;2/01/2020 15:33;3;2/01/2020 15:33;CitiBank Colombia;Fixed Deposit;;;STA-200102-014271;Cancelled;1;66
Loans;Elective;2/01/2020 15:34;4;2/01/2020 15:34;CitiBank Colombia;Fixed Deposit;;;STA-200102-014275;Cancelled;1;107
Investment;Elective;2/01/2020 15:48;2;2/01/2020 15:48;CitiBank Colombia;Fixed Deposit;;;STA-200102-014446;Cancelled;1;133
Cards;Elective;2/01/2020 15:50;2;2/01/2020 15:50;CitiBank Colombia;Balance Enquiry;;;STA-200102-014476;Cancelled;1;110
Banking;Elective;2/01/2020 15:51;2;2/01/2020 15:51;CitiBank Colombia;Balance Enquiry;;;STA-200102-014485;Cancelled;1;137
Deposit Account;Emergency;2/01/2020 15:51;2;2/01/2020 15:51;CitiBank Colombia;Current Account;;;STA-200102-014487;Cancelled;1;24
Loans;Emergency;2/01/2020 15:55;3;2/01/2020 15:55;CitiBank Colombia;Current Account;;;STA-200102-014527;Cancelled;1;76
Investment;Elective;2/01/2020 16:05;2;2/01/2020 16:05;CitiBank Colombia;Home Loan;;;STA-200102-014614;Cancelled;1;0
Cards;Elective;2/01/2020 16:06;2;2/01/2020 16:06;CitiBank Colombia;Home Loan;;;STA-200102-014625;Cancelled;1;22
Banking;Elective;2/01/2020 16:09;2;2/01/2020 16:09;CitiBank Colombia;Home Loan;;;STA-200102-014653;Cancelled;1;69
Deposit Account;Urgent;2/01/2020 16:12;2;2/01/2020 16:12;CitiBank Colombia;Fixed Deposit;;;STA-200102-014672;Cancelled;1;14
Loans;Urgent;2/01/2020 16:20;2;2/01/2020 16:20;CitiBank Colombia;Fixed Deposit;;;STA-200102-014745;Cancelled;1;48
Investment;Urgent;2/01/2020 16:25;2;2/01/2020 16:25;CitiBank Colombia;Fixed Deposit;;;STA-200102-014801;Cancelled;1;84
Cards;Emergency;2/01/2020 16:26;2;2/01/2020 16:26;CitiBank Colombia;Current Account;;;STA-200102-014813;Cancelled;1;126
Banking;Elective;2/01/2020 16:26;5;2/01/2020 16:26;CitiBank Colombia;Mobile Banking;;;STA-200102-014815;Cancelled;1;60
Deposit Account;Elective;2/01/2020 16:30;3;2/01/2020 16:30;CitiBank Colombia;Mobile Banking;;;STA-200102-014853;Cancelled;1;78
Loans;Elective;2/01/2020 16:37;3;2/01/2020 16:37;CitiBank Colombia;Balance Enquiry;;;STA-200102-014912;Cancelled;1;1
Investment;Elective;2/01/2020 16:40;3;2/01/2020 16:40;CitiBank Colombia;Balance Enquiry;;;STA-200102-014938;Cancelled;1;131
Cards;Elective;2/01/2020 16:53;3;2/01/2020 16:53;CitiBank Colombia;Balance Enquiry;;;STA-200102-015036;Cancelled;1;141
Banking;Emergency;2/01/2020 16:53;4;2/01/2020 16:53;CitiBank Colombia;Current Account;;;STA-200102-015039;Cancelled;1;6
Deposit Account;Emergency;2/01/2020 16:55;4;2/01/2020 16:55;CitiBank Colombia;Current Account;;;STA-200102-015054;Cancelled;1;14
Loans;Urgent;2/01/2020 17:02;2;2/01/2020 17:02;CitiBank Colombia;Mobile Banking;;;STA-200102-015111;Cancelled;1;102
Investment;Urgent;2/01/2020 17:03;3;2/01/2020 17:03;CitiBank Colombia;Mobile Banking;;;STA-200102-015121;Cancelled;1;117
Cards;Emergency;2/01/2020 17:03;3;2/01/2020 17:03;CitiBank Colombia;Current Account;;;STA-200102-015124;Cancelled;1;63
Banking;Elective;2/01/2020 17:03;6;2/01/2020 17:03;CitiBank Colombia;Debit Card;;;STA-200102-015125;Cancelled;1;57
Deposit Account;Elective;2/01/2020 17:10;6;2/01/2020 17:10;CitiBank Colombia;Debit Card;;;STA-200102-015176;Cancelled;1;66
Loans;Elective;2/01/2020 17:12;2;2/01/2020 17:12;CitiBank Colombia;Debit Card;;;STA-200102-015197;Cancelled;1;133
Investment;Emergency;2/01/2020 17:19;2;2/01/2020 17:19;CitiBank Colombia;Current Account;;;STA-200102-015247;Cancelled;1;123
Cards;Emergency;2/01/2020 17:21;2;2/01/2020 17:21;CitiBank Colombia;Current Account;;;STA-200102-015261;Cancelled;1;64
Banking;Emergency;2/01/2020 17:25;3;2/01/2020 17:25;CitiBank Colombia;Current Account;;;STA-200102-015288;Cancelled;1;58
Deposit Account;Emergency;2/01/2020 17:25;3;2/01/2020 17:25;CitiBank Colombia;Current Account;;;STA-200102-015290;Cancelled;1;23
Loans;Emergency;2/01/2020 17:26;3;2/01/2020 17:26;CitiBank Colombia;Current Account;;;STA-200102-015302;Cancelled;1;47
Investment;Emergency;2/01/2020 17:27;4;2/01/2020 17:27;CitiBank Colombia;Current Account;;;STA-200102-015311;Cancelled;1;29
Cards;Emergency;2/01/2020 17:27;3;2/01/2020 17:27;CitiBank Colombia;Current Account;;;STA-200102-015312;Cancelled;1;53
Banking;Emergency;2/01/2020 17:29;4;2/01/2020 17:29;CitiBank Colombia;Current Account;;;STA-200102-015321;Cancelled;1;55
Deposit Account;Emergency;2/01/2020 17:36;4;2/01/2020 17:36;CitiBank Colombia;Current Account;;;STA-200102-015371;Cancelled;1;67
Loans;Emergency;2/01/2020 17:40;4;2/01/2020 17:40;CitiBank Colombia;Current Account;;;STA-200102-015402;Cancelled;1;20
Investment;Emergency;2/01/2020 17:41;4;2/01/2020 17:41;CitiBank Colombia;Current Account;;;STA-200102-015405;Cancelled;1;113
Cards;Elective;2/01/2020 17:41;2;2/01/2020 17:41;CitiBank Colombia;Home Loan;;;STA-200102-015406;Cancelled;1;26
Banking;Elective;2/01/2020 17:45;2;2/01/2020 17:45;CitiBank Colombia;Home Loan;;;STA-200102-015427;Cancelled;1;94
